Load,Throughput,Avg,95%,99%
0,0.0,21,40,46
10,90.76,23,42,48
20,180.79,26,64,75
30,270.05,19,40,48
40,359.31,18,36,42
50,448.31,28,55,65
60,538.12,17,42,55
70,628.01,16,32,40
80,716.91,33,70,86
90,804.94,65,160,200
100,834.3,65,190,260
