Load,Throughput,Avg,95%,99%
0,0.0,24,40,47
10,90.78,19,36,43
20,180.92,18,44,55
30,270.68,21,47,65
40,359.73,16,33,40
50,449.25,26,56,65
60,538.2,11,31,40
70,627.64,23,45,54
80,717.01,36,68,87
90,793.75,46,130,190
100,785.5,54,150,220
