Load,Throughput,Avg,95%,99%
0,0.0,0,0,1
10,90.77,0,0,1
20,181.0,0,1,2
30,271.1,0,1,1
40,360.62,0,5,9
50,449.3,0,1,3
60,539.01,1,6,12
70,628.35,0,2,3
80,703.26,0,1,3
90,805.2,0,3,4
100,876.38,0,4,7
